"Ältere Bronzezeit","[-2150, -2150, -1300, -1300],['http://chronontology.dainst.org/period/u9sbo2H1QiE7']"
"Ältere Bronzezeit","[-2200, -2200, -1350, -1350],['http://chronontology.dainst.org/period/ueNkvdyFVCce']"
"Ältere Eisenzeit, Hallstattzeit","[-0750, -0750, -0400, -0400],['http://chronontology.dainst.org/period/WfudwvsOK6ck']"
"Ältere Eisenzeit, Hallstattzeit","[-0800, -0800, -0500, -0500],['http://chronontology.dainst.org/period/olrzccaRWaw1']"
"Ältere Eisenzeit, Hallstattzeit","[-0800, -0800, -0500, -0500],['http://chronontology.dainst.org/period/QbEUcCJRvZsC']"
"Ältere Eisenzeit","[-0600, -0600, -0250, -0250],['http://chronontology.dainst.org/period/IvVQaskHzZGu']"
"Ältere Eisenzeit","[-0600, -0600, -0300, -0300],['http://chronontology.dainst.org/period/jwqI6DCGXYH9']"
"Ältere Eisenzeit","[-0600, -0600, -0300, -0300],['http://chronontology.dainst.org/period/kimCvPRMLmwq']"
"Ältere Eisenzeit","[-0700, -0700, -0500, -0500],['http://chronontology.dainst.org/period/v9KEh3J4eLmj']"
"Ältere Eisenzeit","[-0720, -0720, -0480, -0480],['http://chronontology.dainst.org/period/08q9opa3kgrv']"
"Ältere Eisenzeit","[-0800, -0800, -0451, -0451],['http://chronontology.dainst.org/period/keoVrV6hgjiK']"
"Ältere Eisenzeit","[-0800, -0800, -0475, -0475],['http://chronontology.dainst.org/period/9iECMf0kI7u9']"
"ältere Hunsrück-Eifel-Kultur","[-0750, -0750, -0600, -0600],['http://chronontology.dainst.org/period/088HqiogPe4W']"
"ältere Kaiserzeit","[+0000, +0000, +0200, +0200],['http://chronontology.dainst.org/period/T59oap4TsZ57']"
"Ältere Kupferzeit","[-4250, -4250, -3401, -3401],['http://chronontology.dainst.org/period/NW6hofAScJSE']"
"Ältere Kupferzeit","[-4250, -4250, -3401, -3401],['http://chronontology.dainst.org/period/YQvTvvKGxb4u']"
"Ältere RKZ","[-0027, -0027, +0180, +0180],['http://chronontology.dainst.org/period/nUmdKn8DDoJt']"
"Ältere RKZ","[+0000, +0000, +0100, +0100],['http://chronontology.dainst.org/period/tXvm0RF5EjbT']"
"Ältere RKZ","[+0000, +0000, +0150, +0150],['http://chronontology.dainst.org/period/uFnghlwMhG4M']"
"Ältere RKZ","[+0000, +0000, +0160, +0160],['http://chronontology.dainst.org/period/cwDWOmqNHUiR']"
"Ältere RKZ","[+0000, +0000, +0160, +0160],['http://chronontology.dainst.org/period/J1cJ1N5Azog9']"
"Ältere RKZ","[+0000, +0000, +0200, +0200],['http://chronontology.dainst.org/period/eE6CJ4cCeKxI']"
"Ältere RKZ","[+0000, +0000, +0260, +0260],['http://chronontology.dainst.org/period/gvVmfpxCNTDe']"
"Ältere Römische Kaiserzeit","[-0027, -0027, +0180, +0180],['http://chronontology.dainst.org/period/nUmdKn8DDoJt']"
"Ältere Römische Kaiserzeit","[+0000, +0000, +0100, +0100],['http://chronontology.dainst.org/period/tXvm0RF5EjbT']"
"Ältere Römische Kaiserzeit","[+0000, +0000, +0150, +0150],['http://chronontology.dainst.org/period/uFnghlwMhG4M']"
"Ältere Römische Kaiserzeit","[+0000, +0000, +0160, +0160],['http://chronontology.dainst.org/period/cwDWOmqNHUiR']"
"Ältere Römische Kaiserzeit","[+0000, +0000, +0160, +0160],['http://chronontology.dainst.org/period/J1cJ1N5Azog9']"
