"19th dynasty","[-1295, -1295, -1186, -1186]"
"19th urban","[+1800, +1800, +1899, +1899]"
"19th-20th cent urban","[+1800, +1800, +1950, +1950]"
"1rst Dynasty","[-3000, -3000, -1890, -1890]"
"20th and 21st Centuries","[+1900, +1900, +2100, +2100]"
"20th c. American","[+1900, +1900, +1950, +1950]"
"20th Century (1900 - 1999)","[+1900, +1900, +1999, +1999]"
"20th Century::1st half (1900 - 1949)","[+1900, +1900, +1949, +1949]"
"20th Century::1st half","[+1900, +1900, +1949, +1949]"
"20th Century::1st quarter (1900 - 1924)","[+1900, +1900, +1924, +1924]"
"20th Century::1st quarter","[+1900, +1900, +1924, +1924]"
"20th Century::2nd half (1950 - 1999)","[+1950, +1950, +1999, +1999]"
"20th Century::2nd half","[+1950, +1950, +1999, +1999]"
"20th Century::2nd quarter (1925 - 1949)","[+1925, +1925, +1949, +1949]"
"20th Century::2nd quarter","[+1925, +1925, +1949, +1949]"
"20th Century::2nd/3rd quarter (1925 - 1974)","[+1925, +1925, +1974, +1974]"
"20th Century::2nd/3rd quarter","[+1925, +1925, +1974, +1974]"
"20th Century::3rd quarter (1950 - 1974)","[+1950, +1950, +1974, +1974]"
"20th Century::3rd quarter","[+1950, +1950, +1974, +1974]"
"20th Century::4th quarter (1975 - 1999)","[+1975, +1975, +1999, +1999]"
"20th Century::4th quarter","[+1975, +1975, +1999, +1999]"
"20th century","[+1900, +1900, +1950, +1950]"
"20th Century","[+1900, +1900, +1950, +1950]"
"20th Century","[+1900, +1900, +1999, +1999]"
"20th Century","[+1901, +1901, +2000, +2000]"
"20th Century","[+1901, +1901, +2000, +2000]"
"20th dynasty","[-1186, -1186, -1069, -1069]"
"21st Century","[+2001, +2001, +2100, +2100]"
"21st dynasty","[-1069, -1069, -0945, -0945]"
"22nd dynasty","[-0945, -0945, -0715, -0715]"
"23rd dynasty","[-0818, -0818, -0715, -0715]"
"24th dynasty","[-0727, -0727, -0715, -0715]"
"26th dynasty","[-0664, -0664, -0525, -0525]"
"27th dynasty","[-0525, -0525, -0404, -0404]"
"28th dynasty","[-0404, -0404, -0399, -0399]"
"29th dynasty","[-0399, -0399, -0380, -0380]"
"2nd Dynasty","[-2890, -2890, -2686, -2686]"
"2nd Millenium BCE","[-2000, -2000, -1000, -1000]"
"2nd Millennium BC Egypt (2000-1000 BC)","[-2000, -2000, -1000, -1000]"
"2nd Millennium BC Levant (2000-1000 BC)","[-2000, -2000, -1000, -1000]"
"2nd Millennium BC","[-2000, -2000, -1000, -1000]"
"2nd Millennium BC","[-2000, -2000, -1000, -1000]"
"2nd Millennium BCE","[-2000, -2000, -1000, -1000]"
"30th dynasty","[-0380, -0380, -0343, -0343]"
"31st dynasty","[-0343, -0343, -0332, -0332]"
"3rd dynasty","[-2686, -2686, -2613, -2613]"
"3rd millennium BC","[-3000, -3000, -2000, -2000]"
"4th dynasty","[-2613, -2613, -2494, -2494]"
"4th millenium BCE","[-4000, -4000, -3000, -3000]"
"4th millennium BCE","[-4000, -4000, -3000, -3000]"
"5th dynasty","[-2494, -2494, -2345, -2345]"
"6th Century Style","[-0599, -0599, -0499, -0499]"
"6th dynasty","[-2345, -2345, -2181, -2181]"
"7th and 8th dynasties","[-2181, -2181, -2160, -2160]"
"9th and 10th dynasties","[-2160, -2160, -2025, -2025]"
"Aalenian","[-174100000, -174100000, -170300000, -170300000]"
"Abassid Middle East (AD 750-940)","[+0750, +0750, +0940, +0940]"
"Abassid","[+0750, +0750, +0940, +0940]"
"Abbasid Caliphate","[+0750, +0750, +0772, +0772]"
"Abbasid dynasty","[+0749, +0749, +1258, +1258]"
"Abbotsford (European decorative arts style)","[+1820, +1820, +1839, +1839]"
"Abdul Aziz, 1861-1876","[+1861, +1861, +1876, +1876]"
"Abdul Hamid I, 1774-1789","[+1774, +1774, +1789, +1789]"
"Abdul Mejid, 1839-1861","[+1839, +1839, +1861, +1861]"
"Abdulaziz","[+1861, +1861, +1876, +1876]"
"Abdülâziz","[+1861, +1861, +1876, +1876]"
"Abdulhamid I","[+1774, +1774, +1789, +1789]"
"Abdülhamid I","[+1774, +1774, +1789, +1789]"
"Abdulhamid II","[+1876, +1876, +1909, +1909]"
"Abdülhamid II","[+1876, +1876, +1909, +1909]"
"Abdülmecid I","[+1839, +1839, +1861, +1861]"
"Abdulmejid","[+1839, +1839, +1861, +1861]"
"Abdulmejid","[+1922, +1922, +1924, +1924]"
"Abstract (fine arts style)","[+1900, +1900, +1999, +1999]"
"Abstract Expressionist","[+1940, +1940, +1959, +1959]"
"Abyssino-Italian War, 1895-1896","[+1895, +1895, +1896, +1896]"
"Acacian Schism, 484-519","[+0484, +0484, +0519, +0519]"
"Aceramic Neolithic","[-10050, -10050, -4550, -4550]"
"Aceramic Neolithic","[-6799, -6799, -6499, -6499]"
"Aceramic Neolithic","[-7750, -7750, -5500, -5500]"
"Aceramic Neolithic","[-8499, -8499, -6999, -6999]"
"Aceramic Neolithic","[-9000, -9000, -5200, -5200]"
"Achaemenid Dynasty","[-0549, -0549, -0330, -0330]"
"Achaemenid Empire","[-0550, -0550, -0330, -0330]"
"Achaemenid rule","[-0499, -0499, -0299, -0299]"
"Achaemenid-Roman Republic Middle East (540-30 BC)","[-0540, -0540, -0030, -0030]"
"Achaemenid-Roman Republic","[-0540, -0540, -0030, -0030]"
"Achaemenid","[-0546, -0546, -0333, -0333]"
"Achaemenid","[-0549, -0549, -0299, -0299]"
"Achaemenid","[-0550, -0550, -0330, -0330]"
"Achaemenid","[-0550, -0550, -0331, -0331]"
"Achaemenids","[-0549, -0549, -0329, -0329]"
"Achinese War, 1873-1904","[+1873, +1873, +1904, +1904]"
"Acton 2","[-1500, -1500, -1400, -1400]"
"Acton Park","[-1770, -1350, -1380, -1210]"
"Adam Style","[+1760, +1760, +1790, +1790]"
"Adena","[-0200, -0200, +0500, +0500]"
"Adena","[-0650, -0650, +0050, +0050]"
"Adil Shahi dynasty","[+1490, +1490, +1686, +1686]"
"Adolphus Frederick, 1751-1771","[+1751, +1751, +1771, +1771]"
"Adoptive Emperors/Antonine Dynasty","[+0096, +0096, +0192, +0192]"
"Aegean Bronze Age","[-2999, -2999, -1999, -1999]"
"Ældre Bronzealder per.3","[-1300, -1300, -1100, -1100]"
"Aeronian","[-440800000, -440800000, -438500000, -438500000]"
"Aeropittura","[+1930, +1930, +1949, +1949]"
"Aesthetic Movement","[+1870, +1870, +1889, +1889]"
"Afghan War, 2001-","[+2001, +2001, +2015, +2015]"
"Afghan Wars, 1838-1919","[+1838, +1838, +1919, +1919]"
"Afghan Wars","[+1838, +1838, +1919, +1919]"
"Afghan-Soviet War","[+1979, +1979, +1989, +1989]"
"Afonso I, 1139-1185","[+1139, +1139, +1185, +1185]"
"Afonso II, 1211-1223","[+1211, +1211, +1223, +1223]"
"Afonso III, 1248-1279","[+1248, +1248, +1279, +1279]"
"Afonso IV, 1325-1357","[+1325, +1325, +1357, +1357]"
"Afonso V, 1438-1481","[+1438, +1438, +1481, +1481]"
"Afonso VI, 1656-1683","[+1656, +1656, +1683, +1683]"
"African-American","[+1500, +1500, +1950, +1950]"
"Afsharid dynasty","[+1736, +1736, +1796, +1796]"
"Agate Basin","[-8550, -8550, -7550, -7550]"
"Age 10","[-489500000, -489500000, -485400000, -485400000]"
"Age 2","[-529000000, -529000000, -521000000, -521000000]"
"Age 3","[-521000000, -521000000, -514000000, -514000000]"
"Age 4","[-514000000, -514000000, -509000000, -509000000]"
"Age 5","[-509000000, -509000000, -504500000, -504500000]"
"Age of Despotism, 560-510 B.C","[-0559, -0559, -0509, -0509]"
"Age of enlightenment","[+1700, +1700, +1799, +1799]"
"Age of Liberty","[+1719, +1719, +1772, +1772]"
"Age of Pericles","[-0478, -0478, -0430, -0430]"
"Age of Tyrants, 560-510 B.C","[-0559, -0559, -0509, -0509]"
"Aghlabid","[+0800, +0800, +0909, +0909]"
"Ağrı Dağ Rebellion, 1927-1930","[+1927, +1927, +1930, +1930]"
"Aguada (Bronze Age culture or period)","[+0600, +0600, +0900, +0900]"
"Ahmed I (Ottoman culture or period)","[+1603, +1603, +1617, +1617]"
"Ahmed I","[+1603, +1603, +1617, +1617]"
"Ahmed II","[+1691, +1691, +1695, +1695]"
"Ahmed II","[+1691, +1691, +1695, +1695]"
"Ahmed III, 1703-1730","[+1703, +1703, +1730, +1730]"
"Ahmed III","[+1703, +1703, +1730, +1730]"
"Ahmed III","[+1703, +1703, +1730, +1730]"
"Ahrensburgian","[-10500, -10500, -9000, -9000]"
"Airlift of Ethiopian Jews, 1984-1985","[+1984, +1984, +1985, +1985]"
"Ajubites","[+1180, +1180, +1250, +1250]"
"Akita Ranga School","[+1725, +1725, +1775, +1775]"
"Akkad Period","[-2369, -2369, -2229, -2229]"
"Akkad","[-2333, -2333, -2099, -2099]"
"Akkad","[-2350, -2350, -2200, -2200]"
"Akkadian (culture or style)","[-2340, -2340, -2150, -2150]"
"Akkadian Empire","[-2333, -2333, -2192, -2192]"
"Akkadian Empire","[-2350, -2350, -2200, -2200]"
"Akkadian-Ur III Mesopotamia (2335-2000 BC)","[-2335, -2335, -2000, -2000]"
"Akkadian-Ur III","[-2335, -2335, -2000, -2000]"
"Akkadian","[-2333, -2333, -2153, -2153]"
"Akkadian","[-2333, -2333, -2189, -2189]"
"Akkadian","[-2333, -2333, -2192, -2192]"
"Akkadian","[-2349, -2349, -2149, -2149]"
"Akkoyunlu","[+1378, +1378, +1508, +1508]"
"Akrotiri Phase","[-8850, -8850, -8250, -8250]"
"Akrotiri","[-9300, -9300, -8801, -8801]"
"Akrotiti Phase","[-11000, -11000, -9000, -9000]"
"Aksumite","[-0700, -0700, +1000, +1000]"
"Aksumite","[+0300, +0300, +0700, +0700]"
"Al-Anfal Campaign, 1986-1989","[+1986, +1986, +1989, +1989]"
"Al-Aqsa Intifada, 2000-","[+2000, +2000, +2015, +2015]"
"Alachua","[+1250, +1250, +1600, +1600]"
"Albert I, 1298-1308","[+1298, +1298, +1308, +1308]"
"Albert I, 1298-1308","[+1298, +1298, +1308, +1308]"
"Albert I, 1909-1934","[+1909, +1909, +1934, +1934]"
"Albert II, 1438-1439","[+1438, +1438, +1439, +1439]"
"Albert II, 1993-","[+1993, +1993, +2015, +2015]"
"Albian","[-113000000, -113000000, -100500000, -100500000]"
"Albrecht von Mecklenburg, 1363-1388","[+1363, +1363, +1388, +1388]"
"Alekseĭ Mikhaĭlovich, 1645-1676","[+1645, +1645, +1676, +1676]"
"Alexander I, 1801-1825","[+1801, +1801, +1825, +1825]"
"Alexander II, 1214-1249","[+1214, +1214, +1249, +1249]"
"Alexander II, 1855-1881","[+1855, +1855, +1881, +1881]"
"Alexander III, 1249-1286","[+1249, +1249, +1286, +1286]"
"Alexander III, 1881-1894","[+1881, +1881, +1894, +1894]"
"Alexander, 1501-1506","[+1501, +1501, +1506, +1506]"
"Alexander, 1879-1886","[+1879, +1879, +1886, +1886]"
"Alexis, 1645-1676","[+1645, +1645, +1676, +1676]"
"Alexius I Comnenus, 1081-1118","[+1081, +1081, +1118, +1118]"
"Alexius III Angelus, 1195-1203","[+1195, +1195, +1203, +1203]"
"Alfonso I, 1104-1134","[+1104, +1104, +1134, +1134]"
"Alfonso II, 1162-1196","[+1162, +1162, +1196, +1196]"
"Alfonso III, 866-910","[+0866, +0866, +0910, +0910]"
"Alfonso V, 1416-1458","[+1416, +1416, +1458, +1458]"
"Alfonso VI, 1065-1109","[+1065, +1065, +1109, +1109]"
"Alfonso VII, 1126-1157","[+1126, +1126, +1157, +1157]"
"Alfonso VIII, 1158-1214","[+1158, +1158, +1214, +1214]"
"Alfonso X, 1252-1284","[+1252, +1252, +1284, +1284]"
"Alfonso XI, 1312-1350","[+1312, +1312, +1350, +1350]"
"Alfonso XII, 1465-1468","[+1465, +1465, +1468, +1468]"
"Alfonso XII, 1875-1885","[+1875, +1875, +1885, +1885]"
"Alfonso XIII, 1886-1931","[+1886, +1886, +1931, +1931]"
"Alfred, 871-899","[+0871, +0871, +0899, +0899]"
"Ali Kosh","[-6750, -6750, -6000, -6000]"
"Allamakee Phase","[+0300, +0300, +0400, +0400]"
"Allamakee","[+0300, +0300, +0400, +0400]"
"Allied intervention, 1918-1920","[+1918, +1918, +1920, +1920]"
"Allied occupation, 1918-1930","[+1918, +1918, +1930, +1930]"
"Allied occupation, 1943-1947","[+1943, +1943, +1947, +1947]"
"Allied occupation, 1945-1948","[+1945, +1945, +1948, +1948]"
"Allied occupation, 1945-1952","[+1945, +1945, +1952, +1952]"
"Allied occupation, 1945-1955","[+1945, +1945, +1955, +1955]"
"Allied occupation, 1945-1955","[+1945, +1945, +1955, +1955]"
"Allied occupation, 1945-1990","[+1945, +1945, +1990, +1990]"
"Allied occupation, Italy, 1943-1947","[+1943, +1943, +1947, +1947]"
"Almohad dynasty","[+1130, +1130, +1269, +1269]"
"Almohad period","[+1147, +1147, +1269, +1269]"
"Almohad","[+1121, +1121, +1269, +1269]"
"Almohedes","[+1120, +1120, +1220, +1220]"
"Almohedes","[+1180, +1180, +1205, +1205]"
"Almohedes","[+1190, +1190, +1215, +1215]"
"Almoravid dynasty","[+1055, +1055, +1140, +1140]"
"Almoravid dynasty","[+1056, +1056, +1147, +1147]"
"Almoravid period","[+1055, +1055, +1140, +1140]"
"Almoravid","[+1054, +1054, +1147, +1147]"
"Almoravides","[+1060, +1060, +1120, +1120]"
"Almoravids","[+1055, +1055, +1140, +1140]"
"Amana Colonists","[+1673, +1673, +1950, +1950]"
"Amana","[+1673, +1673, +1950, +1950]"
"Amarna period","[-1353, -1353, -1332, -1332]"
"American 1821-present","[+1821, +1821, +1950, +1950]"
"American Acquisition & Development 1821-45","[+1821, +1821, +1845, +1845]"
"American Acquisition & Development","[+1821, +1821, +1845, +1845]"
"American intervention, 1994-1995","[+1994, +1994, +1995, +1995]"
"American occupation, 1847-1848","[+1847, +1847, +1848, +1848]"
"American occupation, 1906-1909","[+1906, +1906, +1909, +1909]"
"American Occupation, 1915-1934","[+1915, +1915, +1934, +1934]"
